Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
117,6.5,3.0,5.5,1.8,Iris-virginica
106,7.6,3.0,6.6,2.1,Iris-virginica
134,6.3,2.8,5.1,1.5,Iris-virginica
7,4.6,3.4,1.4,0.3,Iris-setosa
80,5.7,2.6,3.5,1.0,Iris-versicolor
109,6.7,2.5,5.8,1.8,Iris-virginica
100,5.7,2.8,4.1,1.3,Iris-versicolor
35,4.9,3.1,1.5,0.1,Iris-setosa
129,6.4,2.8,5.6,2.1,Iris-virginica
51,7.0,3.2,4.7,1.4,Iris-versicolor
97,5.7,2.9,4.2,1.3,Iris-versicolor
5,5.0,3.6,1.4,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
45,5.1,3.8,1.9,0.4,Iris-setosa
85,5.4,3.0,4.5,1.5,Iris-versicolor
131,7.4,2.8,6.1,1.9,Iris-virginica
104,6.3,2.9,5.6,1.8,Iris-virginica
76,6.6,3.0,4.4,1.4,Iris-versicolor
8,5.0,3.4,1.5,0.2,Iris-setosa
47,5.1,3.8,1.6,0.2,Iris-setosa
18,5.1,3.5,1.4,0.3,Iris-setosa
105,6.5,3.0,5.8,2.2,Iris-virginica
102,5.8,2.7,5.1,1.9,Iris-virginica
72,6.1,2.8,4.0,1.3,Iris-versicolor
81,5.5,2.4,3.8,1.1,Iris-versicolor
111,6.5,3.2,5.1,2.0,Iris-virginica
148,6.5,3.0,5.2,2.0,Iris-virginica
150,5.9,3.0,5.1,1.8,Iris-virginica
135,6.1,2.6,5.6,1.4,Iris-virginica
75,6.4,2.9,4.3,1.3,Iris-versicolor
29,5.2,3.4,1.4,0.2,Iris-setosa
12,4.8,3.4,1.6,0.2,Iris-setosa
95,5.6,2.7,4.2,1.3,Iris-versicolor
24,5.1,3.3,1.7,0.5,Iris-setosa
23,4.6,3.6,1.0,0.2,Iris-setosa
128,6.1,3.0,4.9,1.8,Iris-virginica
94,5.0,2.3,3.3,1.0,Iris-versicolor
19,5.7,3.8,1.7,0.3,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
37,5.5,3.5,1.3,0.2,Iris-setosa
58,4.9,2.4,3.3,1.0,Iris-versicolor
32,5.4,3.4,1.5,0.4,Iris-setosa
66,6.7,3.1,4.4,1.4,Iris-versicolor
13,4.8,3.0,1.4,0.1,Iris-setosa
90,5.5,2.5,4.0,1.3,Iris-versicolor
120,6.0,2.2,5.0,1.5,Iris-virginica
31,4.8,3.1,1.6,0.2,Iris-setosa
87,6.7,3.1,4.7,1.5,Iris-versicolor
93,5.8,2.6,4.0,1.2,Iris-versicolor
149,6.2,3.4,5.4,2.3,Iris-virginica
26,5.0,3.0,1.6,0.2,Iris-setosa
139,6.0,3.0,4.8,1.8,Iris-virginica
14,4.3,3.0,1.1,0.1,Iris-setosa
70,5.6,2.5,3.9,1.1,Iris-versicolor
78,6.7,3.0,5.0,1.7,Iris-versicolor
136,7.7,3.0,6.1,2.3,Iris-virginica
137,6.3,3.4,5.6,2.4,Iris-virginica
34,5.5,4.2,1.4,0.2,Iris-setosa
63,6.0,2.2,4.0,1.0,Iris-versicolor
123,7.7,2.8,6.7,2.0,Iris-virginica
108,7.3,2.9,6.3,1.8,Iris-virginica
89,5.6,3.0,4.1,1.3,Iris-versicolor
55,6.5,2.8,4.6,1.5,Iris-versicolor
101,6.3,3.3,6.0,2.5,Iris-virginica
17,5.4,3.9,1.3,0.4,Iris-setosa
116,6.4,3.2,5.3,2.3,Iris-virginica
41,5.0,3.5,1.3,0.3,Iris-setosa
1,5.1,3.5,1.4,0.2,Iris-setosa
74,6.1,2.8,4.7,1.2,Iris-versicolor
9,4.4,2.9,1.4,0.2,Iris-setosa
146,6.7,3.0,5.2,2.3,Iris-virginica
124,6.3,2.7,4.9,1.8,Iris-virginica
114,5.7,2.5,5.0,2.0,Iris-virginica
65,5.6,2.9,3.6,1.3,Iris-versicolor
16,5.7,4.4,1.5,0.4,Iris-setosa
126,7.2,3.2,6.0,1.8,Iris-virginica
10,4.9,3.1,1.5,0.1,Iris-setosa
